EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 BEGIN  : Begin date YYYYMMDD
 98-105 END    : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   BEGIN,     END,PARID,PARNAME
 1917,107735,REDHILLS G.S.                           ,IE,+54:06:11,-007:19:01,  66, RR3,19420605,19990920,   17,Conor Daly                                        
 1917,107777,BELTURBET (VOC.SCH.)                    ,IE,+54:06:00,-007:26:31,  70, RR3,19440811,19891031,   17,Conor Daly                                        
 1917,107913,BALLYHAISE (AGR.COLL.)                  ,IE,+54:03:04,-007:18:36,  67, RR3,19410101,20050731,   17,Conor Daly                                        
 1917,116294,BALLYHAISE                              ,IE,+54:03:04,-007:18:36,  79, RR3,20080401,20210731,   17,Conor Daly                                        
 1917,218675,DERRYLIN                                ,GB,+54:09:03,-007:34:30,  70, RR7,20040203,20070214,   84,Matthew Fry                                       
 1917,903979,BALLYHAISE, CAVAN                       ,IE,+54:03:00,-007:18:00,  79, RR8,20090609,20200229,     ,                    
 1919,107779,M.MOANBANE NO.4                         ,IE,+53:05:10,-006:26:31, 354, RR3,20010801,20210731,   17,Conor Daly                                        
 1919,107854,GLENBRIDE LODGE                         ,IE,+53:04:41,-006:27:11, 363, RR3,19430101,20210731,   17,Conor Daly                                        
 1926,107786,CASHEL (BALLINAMONA)                    ,IE,+52:30:40,-007:55:41,  80, RR3,19410101,20210731,   17,Conor Daly                                        
 1927,107787,CASTLEDERMOT G.S.                       ,IE,+52:54:29,-006:50:49,  82, RR3,19440926,19971231,   17,Conor Daly                                        
 1927,116292,OAK PARK                                ,IE,+52:51:40,-006:54:54,  63, RR3,20080401,20210731,   17,Conor Daly                                        
 1927,903961,OAK PARK, CARLOW                        ,IE,+52:51:00,-006:54:00,  63, RR8,20090609,20200229,     ,                    
 1738,107788,GLENGARRIFF (ILNACULLIN)                ,IE,+51:44:06,-009:32:46,   7, RR3,19410101,20210731,   17,Conor Daly                                        
 1761,107789,DUN LAOGHAIRE (PEOPLES PARK)            ,IE,+53:17:20,-006:07:41,   8, RR3,19410101,19890624,   17,Conor Daly                                        
 1761,107805,DUN LAOGHAIRE (HARBOUR YD.)             ,IE,+53:17:38,-006:08:10,  16, RR3,19410101,19890930,   17,Conor Daly                                        
 1761,107818,DUBLIN (CLONTARF)                       ,IE,+53:21:50,-006:13:30,   5, RR3,19410101,20011031,   17,Conor Daly                                        
 1761,107825,DUBLIN (RINGSEND)                       ,IE,+53:20:31,-006:12:50,   7, RR3,19410101,20210731,   17,Conor Daly                                        
 1761,107874,DUBLIN (MERRION SQUARE)                 ,IE,+53:20:20,-006:15:11,  13, RR3,19480101,20210731,   17,Conor Daly                                        
 1928,107790,COROFIN G.S.                            ,IE,+53:26:10,-008:51:50,  34, RR3,19411127,19880630,   17,Conor Daly                                        
 1928,107806,CARNDOLLA                               ,IE,+53:24:04,-009:00:00,  24, RR3,19411201,20210729,   17,Conor Daly                                        
 1928,107811,LAGHTGEORGE G.S.                        ,IE,+53:21:22,-008:55:52,  14, RR3,19411201,19940531,   17,Conor Daly                                        
 1930,107792,CUILCAGH MTNS.                          ,IE,+54:09:58,-007:48:04, 290, RR3,19440811,20210630,   17,Conor Daly                                        
  968,107793,CARRICKMACROSS (DUNOGE)                 ,IE,+53:58:41,-006:45:11,  88, RR3,19581001,20210731,   17,Conor Daly                                        
  968,107914,KINGSCOURT G.S.                         ,IE,+53:54:25,-006:48:14, 105, RR3,19430320,19880229,   17,Conor Daly                                        
  968,107925,SHERCOCK G.S.                           ,IE,+53:59:49,-006:54:00, 110, RR3,19420603,19870627,   17,Conor Daly                                        
 1932,107795,BALLINSPITTLE G.S.                      ,IE,+51:40:01,-008:35:49,  15, RR3,19491101,19950131,   17,Conor Daly                                        
